world,tag,band,greedy,nohedge,bound,pas,churn,breaches
GARCH,202206,0.3,11.06,-74.35,661.69,True,562.5,0
GARCH,202207,0.3,-54.64,10.84,619.8,True,437.5,0
GARCH,202208,0.3,14.16,99.31,636.88,True,175.0,0
GARCH,202209,0.3,-14.08,167.5,608.84,True,250.0,0
GARCH,202210,0.3,81.57,207.83,675.46,True,300.0,0
GARCH,202211,0.3,94.68,43.84,654.87,True,337.5,0
GARCH,202212,0.3,-1.12,-59.89,678.57,True,375.0,0
GARCH,202301,0.3,31.66,24.47,607.03,True,312.5,0
GARCH,202302,0.3,-7.53,61.45,625.74,True,437.5,0
GARCH,202303,0.3,62.94,12.24,594.21,True,125.0,0
GARCH,202304,0.3,16.92,-41.09,580.73,True,300.0,0
GARCH,202305,0.3,10.89,-141.85,590.67,True,425.0,0
GARCH,202306,0.3,14.79,-80.88,559.36,True,300.0,0
GARCH,202307,0.3,-1.84,-10.19,456.39,True,300.0,0
GARCH,202308,0.3,52.66,-28.36,535.92,True,312.5,0
GARCH,202309,0.3,-23.88,-32.55,548.63,True,300.0,0
GARCH,202310,0.3,11.86,21.05,516.71,True,312.5,0
GARCH,202311,0.3,0.25,-30.98,568.83,True,125.0,0
GARCH,202312,0.3,-6.79,-24.23,526.54,True,300.0,0
GARCH,202001,0.4,-80.89,-194.35,810.1,True,68.8,0
GARCH,202002,0.4,-62.8,-172.13,892.94,True,100.0,0
GARCH,202003,0.4,-34.69,-49.94,845.94,True,81.2,0
GARCH,202004,0.4,-8.84,135.4,628.43,True,193.8,0
GARCH,202005,0.4,85.08,169.58,746.71,True,93.8,0
GARCH,202006,0.4,112.05,87.3,751.38,True,50.0,0
GARCH,202007,0.4,59.53,62.96,699.5,True,281.2,0
GARCH,202008,0.4,-14.78,1.36,637.15,True,225.0,0
GARCH,202009,0.4,19.38,89.72,605.54,True,268.8,0
GARCH,202010,0.4,15.14,210.46,625.76,True,131.2,0
GARCH,202011,0.4,79.98,352.15,685.55,True,150.0,0
GARCH,202012,0.4,31.28,213.82,708.43,True,212.5,0
GARCH,202101,0.4,11.7,142.05,758.24,True,450.0,0
GARCH,202102,0.4,131.4,123.87,765.09,True,200.0,0
GARCH,202103,0.4,35.37,-73.18,751.02,True,112.5,0
GARCH,202104,0.4,62.71,-84.43,765.31,True,368.8,0
